title,author,publication_year,journal_name,doiabstract,doi,abstract
CEO Preferences and Acquisitions,DIRK JENTER,01 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12283,"ABSTRACTThis paper explores the impact of target CEOs’ retirement preferences on takeovers. Using retirement age as a proxy for CEOs’ private merger costs, we find strong evidence that target CEOs’ preferences affect merger activity. The likelihood of receiving a successful takeover bid is sharply higher when target CEOs are close to age 65. Takeover premiums and target announcement returns are similar for retirement-age and younger CEOs, implying that retirement-age CEOs increase firm sales without sacrificing premiums. Better corporate governance is associated with more acquisitions of firms led by young CEOs, and with a smaller increase in deals at retirement age."
The Wall Street Walk when Blockholders Compete for Flows,AMIL DASGUPTA,06 August 2015,The Journal of Finance,,/doi/10.1111/jofi.12308,"ABSTRACTEffective monitoring by equity blockholders is important for good corporate governance. A prominent theoretical literature argues that the threat of block sale (“exit”) can be an effective governance mechanism. Many blockholders are money managers. We show that, when money managers compete for investor capital, the threat of exit loses credibility, weakening its governance role. Money managers with more skin in the game will govern more successfully using exit. Allowing funds to engage in activist measures (“voice”) does not alter our qualitative results. Our results link widely prevalent incentives in the ever-expanding money management industry to the nature of corporate governance."
The Value of Control and the Costs of Illiquidity: Erratum,RUI ALBUQUERQUE,12 November 2015,The Journal of Finance,,/doi/10.1111/jofi.12359,
The Role of Institutional Investors in Voting: Evidence from the Securities Lending Market: Erratum,REENA AGGARWAL,12 November 2015,The Journal of Finance,,/doi/10.1111/jofi.12360,
Reaching for Yield in the Bond Market,BO BECKER,06 August 2014,The Journal of Finance,,/doi/10.1111/jofi.12199,"ABSTRACTThis paper studies reaching for yield—investors’ propensity to buy riskier assets to achieve higher yields—in the corporate bond market. We show that insurance companies reach for yield in choosing their investments. Consistent with lower rated bonds bearing higher capital requirements, insurance firms prefer to hold higher rated bonds. However, conditional on credit ratings, insurance portfolios are systematically biased toward higher yield, higher CDS bonds. This behavior is related to the business cycle being most pronounced during economic expansions. It is also characteristic of firms with poor corporate governance and for which the regulatory capital requirement is more binding."
Arbitrage Asymmetry and the Idiosyncratic Volatility Puzzle,ROBERT F. STAMBAUGH,01 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12286,"ABSTRACTBuying is easier than shorting for many equity investors. Combining this arbitrage asymmetry with the arbitrage risk represented by idiosyncratic volatility (IVOL) explains the negative relation between IVOL and average return. The IVOL-return relation is negative among overpriced stocks but positive among underpriced stocks, with mispricing determined by combining 11 return anomalies. Consistent with arbitrage asymmetry, the negative relation among overpriced stocks is stronger, especially for stocks less easily shorted, so the overall IVOL-return relation is negative. Further supporting our explanation, high investor sentiment weakens the positive relation among underpriced stocks and, especially, strengthens the negative relation among overpriced stocks."
Wall Street Occupations,ULF AXELSON,03 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12244,"ABSTRACTMany finance jobs entail the risk of large losses, and hard-to-monitor effort. We analyze the equilibrium consequences of these features in a model with optimal dynamic contracting. We show that finance jobs feature high compensation, up-or-out promotion, and long work hours, and are more attractive than other jobs. Moral hazard problems are exacerbated in booms, even though pay increases. Employees whose talent would be more valuable elsewhere can be lured into finance jobs, while the most talented employees might be unable to land these jobs because they are “too hard to manage.”"
"Market Making Contracts, Firm Value, and the IPO Decision",HENDRIK BESSEMBINDER,12 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12285,"ABSTRACTWe examine the effects of secondary market liquidity on firm value and the IPO decision. Competitive aftermarket liquidity provision is associated with reduced welfare and a discounted secondary market price that can dissuade IPOs. The competitive market fails in particular for firms or at times when uncertainty regarding fundamental value and asymmetric information are large in combination. In these cases, firm value and welfare are improved by a contract where the firm engages a designated market maker to enhance liquidity. Such contracts represent a market solution to a market imperfection, particularly for small, growth firms."
Asymmetric Learning from Financial Information,CAMELIA M. KUHNEN,27 October 2014,The Journal of Finance,,/doi/10.1111/jofi.12223,ABSTRACTThis study asks whether investors learn differently from gains versus losses. I find experimental evidence that indicates that being in the negative domain leads individuals to form overly pessimistic beliefs about available investment options. This pessimism bias is driven by people reacting more to low outcomes in the negative domain relative to the positive domain. Such asymmetric learning may help explain documented empirical patterns regarding the differential role of poor versus good economic conditions on investment behavior and household economic choices.
Informational Frictions and Commodity Markets,MICHAEL SOCKIN,09 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12261,"ABSTRACTThis paper develops a model with a tractable log-linear equilibrium to analyze the effects of informational frictions in commodity markets. By aggregating dispersed information about the strength of the global economy among goods producers whose production has complementarity, commodity prices serve as price signals to guide producers' production decisions and commodity demand. Our model highlights important feedback effects of informational noise originating from supply shocks and futures market trading on commodity demand and spot prices. Our analysis illustrates the weakness common in empirical studies on commodity markets of assuming that different types of shocks are publicly observable to market participants."
The Beauty Contest and Short-Term Trading,GIOVANNI CESPA,01 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12279,"ABSTRACTShort-termism need not breed informational price inefficiency even when generating beauty contests. We demonstrate this claim in a two-period market with persistent liquidity trading and risk-averse, privately informed, short-term investors and find that prices reflect average expectations about fundamentals and liquidity trading. Informed investors engage in “retrospective” learning to reassess inferences (about fundamentals) made during the trading game's early stages. This behavior introduces strategic complementarities in the use of information and can yield twostableequilibria that can be ranked in terms of liquidity, volatility, and informational efficiency. We derive implications that explain market anomalies as well as empirical regularities."
CEO Turnover and Relative Performance Evaluation,DIRK JENTER,01 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12282,"ABSTRACTThis paper shows that CEOs are fired after bad firm performance caused by factors beyond their control. Standard economic theory predicts that corporate boards filter out exogenous industry and market shocks from firm performance before deciding on CEO retention. Using a hand-collected sample of 3,365 CEO turnovers from 1993 to 2009, we document that CEOs are significantly more likely to be dismissed from their jobs after bad industry and, to a lesser extent, after bad market performance. A decline in industry performance from the 90thto the 10thpercentile doubles the probability of a forced CEO turnover."
The Cost of Capital for Alternative Investments,JAKUB W. JUREK,18 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12269,"ABSTRACTTraditional risk factor models indicate that hedge funds capture pre-fee alphas of 6% to 10% per annum over the period from 1996 to 2012. At the same time, the hedge fund return series is not reliably distinguishable from the returns of mechanical S&P 500 put-writing strategies. We show that the high excess returns to hedge funds and put-writing are consistent with an equilibrium in which a small subset of investors specialize in bearing downside market risks. Required rates of return in such an equilibrium can dramatically exceed those suggested by traditional models, affecting inference about the attractiveness of these investments."
Hidden Liquidity: Some New Light on Dark Trading,ROBERT BLOOMFIELD,20 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12301,"ABSTRACTUsing a laboratory market, we investigate how the ability to hide orders affects traders’ strategies and market outcomes in a limit order book environment. We find that order strategies are greatly affected by allowing hidden liquidity, with traders substituting nondisplayed for displayed shares and changing the aggressiveness of their trading. As traders adapt their behavior to the different opacity regimes, however, most aggregate market outcomes (such as liquidity and informational efficiency) are not affected as much. We also find that opacity appears to increase the profits of informed traders but only when their private information is very valuable."
Outsourcing in the International Mutual Fund Industry: An Equilibrium View,OLEG CHUPRININ,05 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12259,"ABSTRACTWe study outsourcing relationships among international asset management firms. We find that, in companies that manage both outsourced and in-house funds, in-house funds outperform outsourced funds by 0.85% annually (57% of the expense ratio). We attribute this result to preferential treatment of in-house funds via the preferential allocation of IPOs, trading opportunities, and cross-trades, especially at times when in-house funds face steep outflows and require liquidity. We explain preferential treatment with agency problems: it increases with the subcontractor's market power and the difficulty of monitoring the subcontractor, and decreases with the subcontractor's amount of parallel in-house activity."
The Role of Institutional Investors in Voting: Evidence from the Securities Lending Market,REENA AGGARWAL,01 May 2015,The Journal of Finance,,/doi/10.1111/jofi.12284,"ABSTRACTThis paper investigates voting preferences of institutional investors using the unique setting of the securities lending market. Investors restrict lendable supply and/or recall loaned shares prior to the proxy record date to exercise voting rights. Recall is higher for investors with greater incentives to monitor, for firms with poor performance or weak governance, and for proposals where returns to governance are likely higher. At the subsequent vote, recall is associated with less support for management and more support for shareholder proposals. Our results indicate that institutions value their vote and use the proxy process to affect corporate governance."
"Agency Conflicts, Investment, and Asset Pricing: Erratum",RUI ALBUQUERUE,03 September 2015,The Journal of Finance,,/doi/10.1111/jofi.12307,
Presidential Address: Does Finance Benefit Society?,LUIGI ZINGALES,23 July 2015,The Journal of Finance,,/doi/10.1111/jofi.12295,"ABSTRACTAcademics’ view of the benefits of finance vastly exceeds societal perception. This dissonance is at least partly explained by an underappreciation by academia of how, without proper rules, finance can easily degenerate into a rent-seeking activity. I outline what finance academics can do, from a research point of view and from an educational point of view, to promote good finance and minimize the bad."
Does Going Public Affect Innovation?,SHAI BERNSTEIN,13 April 2015,The Journal of Finance,,/doi/10.1111/jofi.12275,"ABSTRACTThis paper investigates the effects of going public on innovation by comparing the innovation activity of firms that go public with firms that withdraw their initial public offering (IPO) filing and remain private. NASDAQ fluctuations during the book-building phase are used as an instrument for IPO completion. Using patent-based metrics, I find that the quality of internal innovation declines following the IPO, and firms experience both an exodus of skilled inventors and a decline in the productivity of the remaining inventors. However, public firms attract new human capital and acquire external innovation. The analysis reveals that going public changes firms' strategies in pursuing innovation."
The Value of Control and the Costs of Illiquidity,RUI ALBUQUERQUE,02 September 2014,The Journal of Finance,,/doi/10.1111/jofi.12207,"ABSTRACTWe develop a search model of block trades that values the illiquidity of controlling stakes. The model considers several dimensions of illiquidity. First, following a liquidity shock, the controlling blockholder is forced to sell, possibly to a less efficient acquirer. Second, this sale may occur at a fire sale price. Third, absent a liquidity shock, a trade occurs only if a potential buyer arrives. Using a structural estimation approach and U.S. data on trades of controlling blocks of public corporations, we estimate the value of control, blockholders' marketability discount, and dispersed shareholders' illiquidity-spillover discount."
The Impact of Incentives and Communication Costs on Information Production and Use: Evidence from Bank Lending,JUN (QJ) QIAN,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12251,"ABSTRACTIn 2002 and 2003, many Chinese banks implemented reforms that delegated authority to individual loan officers. The change followed China's entrance into the WTO and offers a plausibly exogenous shock to loan officer incentives to produce information. We find that the bank's internal risk rating becomes a stronger predictor of loan interest rates and ex post outcomes after reform. When the loan officer and the branch president who approves the loan work together longer, the rating also becomes more strongly related to loan prices and outcomes. Our results highlight how incentives and communication costs affect information production and use."
A Model of Mortgage Default,JOHN Y. CAMPBELL,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12252,"ABSTRACTIn this paper, we solve a dynamic model of households' mortgage decisions incorporating labor income, house price, inflation, and interest rate risk. Using a zero-profit condition for mortgage lenders, we solve for equilibrium mortgage rates given borrower characteristics and optimal decisions. The model quantifies the effects of adjustable versus fixed mortgage rates, loan-to-value ratios, and mortgage affordability measures on mortgage premia and default. Mortgage selection by heterogeneous borrowers helps explain the higher default rates on adjustable-rate mortgages during the recent U.S. housing downturn, and the variation in mortgage premia with the level of interest rates."
Do Prices Reveal the Presence of Informed Trading?,PIERRE COLLIN-DUFRESNE,09 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12260,"ABSTRACTUsing a comprehensive sample of trades from Schedule 13D filings by activist investors, we study how measures of adverse selection respond to informed trading. We find that on days when activists accumulate shares, measures of adverse selection and of stock illiquidity are lower, even though prices are positively impacted. Two channels help explain this phenomenon: (1) activists select times of higher liquidity when they trade, and (2) activists use limit orders. We conclude that, when informed traders can select when and how to trade, standard measures of adverse selection may fail to capture the presence of informed trading."
Investment Decisions of Nonprofit Firms: Evidence from Hospitals,MANUEL ADELINO,24 November 2014,The Journal of Finance,,/doi/10.1111/jofi.12234,"ABSTRACTThis paper examines investment choices of nonprofit hospitals. It tests how shocks to cash flows caused by the performance of the hospitals’ financial assets affect hospital expenditures. Capital expenditures increase, on average, by 10 to 28 cents for every dollar received from financial assets. The sensitivity is similar to that found earlier for shareholder-owned corporations. Executive compensation, other salaries, and perks do not respond significantly to cash flow shocks. Hospitals with an apparent tendency to overspend on medical procedures do not exhibit higher investment-cash flow sensitivities. The sensitivities are higher for hospitals that appear financially constrained."
The Brain Gain of Corporate Boards: Evidence from China,MARIASSUNTA GIANNETTI,06 August 2014,The Journal of Finance,,/doi/10.1111/jofi.12198,"ABSTRACTWe study the impact of directors with foreign experience on firm performance in emerging markets. Using a unique data set from China, we exploit the introduction of policies to attract talented emigrants and increase the supply of individuals with foreign experience in different provinces at different times. We document that performance increases after firms hire directors with foreign experience and identify the channels through which the emigration of talent may lead to a brain gain. Our findings provide evidence on how directors transmit knowledge about management practices and corporate governance to firms in emerging markets."
A Comparative-Advantage Approach to Government Debt Maturity,ROBIN GREENWOOD,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12253,"ABSTRACTWe study optimal government debt maturity in a model where investors derive monetary services from holding riskless short-term securities. In a setting where the government is the only issuer of such riskless paper, it trades off the monetary premium associated with short-term debt against the refinancing risk implied by the need to roll over its debt more often. We extend the model to allow private financial intermediaries to compete with the government in the provision of short-term money-like claims. We argue that, if there are negative externalities associated with private money creation, the government should tilt its issuance more toward short maturities, thereby partially crowding out the private sector's use of short-term debt."
Information Diversity and Complementarities in Trading and Information Acquisition,ITAY GOLDSTEIN,02 December 2014,The Journal of Finance,,/doi/10.1111/jofi.12226,"ABSTRACTWe analyze a model in which different traders are informed of different fundamentals that affect the security value. We identify a source for strategic complementarities in trading and information acquisition: aggressive trading on information about one fundamental reduces uncertainty in trading on information about the other fundamental, encouraging more trading and information acquisition on that fundamental. This tends to amplify the effect of exogenous changes in the underlying information environment. Due to complementarities, greater diversity of information in the economy improves price informativeness. We discuss the relation between our model and recent financial phenomena and derive testable empirical implications."
Capital and Labor Reallocation within Firms,XAVIER GIROUD,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12254,"ABSTRACTWe document how a positive shock to investment opportunities at one plant (“treated plant”) spills over to other plants within the same firm, but only if the firm is financially constrained. To provide the treated plant with resources, the firm's headquarters withdraws capital and labor from other plants, especially plants that are relatively less productive, not part of the firm's core industries, and located far away from headquarters. As a result of the resource reallocation, aggregate firm-wide productivity increases. We do not find evidence of capital or labor spillovers among plants of financially unconstrained firms."
Transparency in the Financial System: Rollover Risk and Crises,MATTHIEU BOUVARD,18 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12270,"ABSTRACTWe present a theory of optimal transparency when banks are exposed to rollover risk. Disclosing bank-specific information enhances the stability of the financial system during crises, but has a destabilizing effect in normal economic times. Thus, the regulator optimally increases transparency during crises. Under this policy, however, information disclosure signals a deterioration of economic fundamentals, which gives the regulator ex post incentives to withhold information. This commitment problem precludes a disclosure policy that provides ex ante optimal insurance against aggregate shocks, and can result in excess opacity that increases the likelihood of a systemic crisis."
Report of the Editor of the Journal of Finance for the Year 2014,KENNETH J. SINGLETON,23 July 2015,The Journal of Finance,,/doi/10.1111/jofi.12290,
Change You Can Believe In? Hedge Fund Data Revisions: Erratum,ANDREW J. PATTON,23 July 2015,The Journal of Finance,,/doi/10.1111/jofi.12306,
Rewarding Trading Skills without Inducing Gambling,IGOR MAKAROV,24 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12257,"ABSTRACTThis paper develops a model of active asset management in which fund managers may forgo alpha-generating strategies, preferring instead to make negative-alpha trades that enable them to temporarily manipulate investors' perceptions of their skills. We show that such trades are optimally generated by taking on hidden tail risk, and are more likely to occur when fund managers are impatient and when their trading skills are scalable, and generate a high profit per unit of risk. We propose long-term contracts that deter this behavior by dynamically adjusting the dates on which the manager is compensated in response to her cumulative performance."
Change You Can Believe In? Hedge Fund Data Revisions,ANDREW J. PATTON,27 January 2015,The Journal of Finance,,/doi/10.1111/jofi.12240,"ABSTRACTWe analyze the reliability of voluntary disclosures of financial information, focusing on widely-employed publicly-available hedge fund databases. Tracking changes to statements of historical performance recorded between 2007 and 2011, we find that historical returns are routinely revised. These revisions are not merely random or corrections of earlier mistakes; they are partly forecastable by fund characteristics. Funds that revise their performance histories significantly and predictably underperform those that have never revised, suggesting that unreliable disclosures constitute a valuable source of information for investors. These results speak to current debates about mandatory disclosures by financial institutions to market regulators."
"Innovation, Growth, and Asset Prices",HOWARD KUNG,27 January 2015,The Journal of Finance,,/doi/10.1111/jofi.12241,"ABSTRACTWe examine the asset pricing implications of a production economy whose long-term growth prospects are endogenously determined by innovation and R&D. In equilibrium, R&D endogenously drives a small, persistent component in productivity that generates long-run uncertainty about economic growth. With recursive preferences, households fear that persistent downturns in economic growth are accompanied by low asset valuations and command high-risk premia in asset markets. Empirically, we find substantial evidence for innovation-driven low-frequency movements in aggregate growth rates and asset market valuations. In short, equilibrium growth is risky."
Anchoring on Credit Spreads,CASEY DOUGAL,04 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12248,"ABSTRACTThis paper documents that thepathof credit spreads since a firm's last loan influences thelevelat which it can currently borrow. If spreads have moved in the firm's favor (i.e., declined), it is charged a higher interest rate than is justified by current fundamentals, whereas if spreads have moved to the firm's detriment, it is charged a lower rate. We evaluate several possible explanations for this finding, and conclude that anchoring to past deal terms is most plausible."
Is a VC Partnership Greater Than the Sum of Its Partners?,MICHAEL EWENS,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12249,"ABSTRACTThis paper investigates whether individual venture capitalists have repeatable investment skill and the extent to which their skill is impacted by the venture capital (VC) firm where they work. We examine a unique data set that tracks the performance of individual venture capitalists' investments over time and as they move between firms. We find evidence of skill and exit style differences even among venture partners investing at the same VC firm at the same time. Furthermore, our estimates suggest the partners' human capital is two to five times more important than the VC firm's organizational capital in explaining performance."
Dividend Dynamics and the Term Structure of Dividend Strips,FREDERICO BELO,27 January 2015,The Journal of Finance,,/doi/10.1111/jofi.12242,"ABSTRACTMany leading asset pricing models are specified so that the term structure of dividend volatility is either flat or upward sloping. These models predict that the term structures of expected returns and volatilities on dividend strips (i.e., claims to dividends paid over a prespecified interval) are also upward sloping. However, the empirical evidence suggests otherwise. This discrepancy can be reconciled if these models replace their proposed dividend dynamics with processes that generate stationary leverage ratios. Under such policies, shareholders are forced to divest (invest) when leverage is low (high), which shifts risk from long- to short-horizon dividend strips."
The Effect of Providing Peer Information on Retirement Savings Decisions,JOHN BESHEARS,24 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12258,"ABSTRACTUsing a field experiment in a 401(k) plan, we measure the effect of disseminating information about peer behavior on savings. Low-saving employees received simplified plan enrollment or contribution increase forms. A randomized subset of forms stated the fraction of age-matched coworkers participating in the plan or age-matched participants contributing at least 6% of pay to the plan. We document an oppositional reaction: the presence of peer informationdecreasedthe savings of nonparticipants who were ineligible for 401(k) automatic enrollment, and higher observed peer savings rates also decreased savings. Discouragement from upward social comparisons seems to drive this reaction."
CEO Connectedness and Corporate Fraud,VIKRAMADITYA KHANNA,27 January 2015,The Journal of Finance,,/doi/10.1111/jofi.12243,"ABSTRACTWe find that connections CEOs develop with top executives and directors through their appointment decisions increase the risk of corporate fraud. Appointment-based CEO connectedness in executive suites and boardrooms increases the likelihood of committing fraud and decreases the likelihood of detection. Additionally, it decreases the expected costs of fraud by helping conceal fraudulent activity, making CEO dismissal less likely upon discovery, and lowering the coordination costs of carrying out illegal activity. Connections based on network ties through past employment, education, or social organization memberships have insignificant effects on fraud. Appointment-based CEO connectedness warrants attention from regulators, investors, and corporate governance specialists."
The WACC Fallacy: The Real Effects of Using a Unique Discount Rate,PHILIPP KRÜGER,06 February 2015,The Journal of Finance,,/doi/10.1111/jofi.12250,"ABSTRACTIn this paper, we test whether firms properly adjust for risk in their capital budgeting decisions. If managers use a single discount rate within firms, we expect that conglomerates underinvest (overinvest) in relatively safe (risky) divisions. We measure division relative risk as the difference between the division's asset beta and a firm-wide beta. We establish a robust and significant positive relationship between division-level investment and division relative risk. Next, we measure the value loss due to this behavior in the context of acquisitions. When the bidder's beta is lower than that of the target, announcement returns are significantly lower."
Corporate Taxes and Securitization,JOONGHO HAN,27 March 2014,The Journal of Finance,,/doi/10.1111/jofi.12157,"ABSTRACTMost banks pay corporate income taxes, but securitization vehicles do not. Our model shows that, when a bank faces strong loan demand but limited deposit market power, this tax asymmetry creates an incentive to sell loans despite less-efficient screening and monitoring of sold loans. Moreover, loan-selling increases as a bank's corporate income tax rate and capital requirement rise. Our empirical tests show that U.S. commercial banks sell more of their mortgages when they operate in states that impose higher corporate income taxes. A policy implication is that tax-induced loan-selling will rise if banks’ required equity capital increases."
How Does Household Portfolio Diversification Vary with Financial Literacy and Financial Advice?,HANS-MARTIN VON GAUDECKER,24 November 2014,The Journal of Finance,,/doi/10.1111/jofi.12231,"ABSTRACTHousehold investment mistakes are an important concern for researchers and policymakers alike. Portfolio underdiversification ranks among those mistakes that are potentially most costly. However, its roots and empirical importance are poorly understood. I estimate quantitatively meaningful diversification statistics and investigate their relationship with key variables. Nearly all households that score high on financial literacy or rely on professionals or private contacts for advice achieve reasonable investment outcomes. Compared to these groups, households with below-median financial literacy that trust their own decision-making capabilities lose an expected 50 bps on average. All group differences stem from the top of the loss distribution."
Subsidizing Liquidity: The Impact of Make/Take Fees on Market Quality,KATYA MALINOVA,02 December 2014,The Journal of Finance,,/doi/10.1111/jofi.12230,"ABSTRACTFacing increased competition over the last decade, many stock exchanges changed their trading fees to maker-taker pricing, an incentive scheme that rewards liquidity suppliers and charges liquidity demanders. Using a change in trading fees on the Toronto Stock Exchange, we study whether and why the breakdown of trading fees between liquidity demanders and suppliers matters. Posted quotes adjust after the change in fee composition, but the transaction costs for liquidity demanders remain unaffected once fees are taken into account. However, as posted bid-ask spreads decline, traders (particularly retail) use aggressive orders more frequently, and adverse selection costs decrease."
